0,1,2,3,评论总数,歌手所在
王菲,百年孤寂,https://music.163.com/song?id=299650,《只爱陌生人》,27087,港台
王菲,匆匆那年,https://music.163.com/song?id=31514406,《匆匆那年 电影原声带》,34165,港台
王菲,人间,https://music.163.com/song?id=300062,《王菲》,30693,港台
王菲,你在终点等我,https://music.163.com/song?id=431357712,《你在终点等我》,126751,港台
王菲,红豆,https://music.163.com/song?id=299936,《唱游》,12679,港台
王菲,无问西东,https://music.163.com/song?id=528478901,《无问西东》,29910,港台
王菲,暗涌,https://music.163.com/song?id=1893256185,《20首经典情歌集丨往事只能回味》,185,港台
王菲,暧昧,https://music.163.com/song?id=299981,《菲主打》,38919,港台
王菲,因为爱情,https://music.163.com/song?id=64317,《Stranger Under My Skin》,40971,港台
王菲,矜持,https://music.163.com/song?id=300129,《菲卖品》,33609,港台
王菲,容易受伤的女人,https://music.163.com/song?id=1890666440,《KTV必點：記憶中的懷舊經典》,144,港台
王菲,笑忘书,https://music.163.com/song?id=299601,《寓言》,30816,港台
王菲,我和我的祖国,https://music.163.com/song?id=1392990601,《我和我的祖国》,217182,港台
王菲,流年,https://music.163.com/song?id=299445,《你王菲所以我王菲》,21659,港台
王菲,执迷不悔 (粤语版),https://music.163.com/song?id=300587,《执迷不悔》,7817,港台
王菲,约定,https://music.163.com/song?id=299116,《情·菲·得意》,27073,港台
王菲,致青春,https://music.163.com/song?id=26207292,《致青春》,17608,港台
王菲,又见炊烟,https://music.163.com/song?id=300234,《菲靡靡之音》,4844,港台
王菲,微风细雨 (Live),https://music.163.com/song?id=26584886,《邓丽君60周年纪念演唱会 (王菲篇)》,6237,港台
王菲,传奇,https://music.163.com/song?id=298838,《传奇》,26947,港台
陈奕迅,富士山下,https://music.163.com/song?id=65766,《What's Going On…?》,151705,港台
陈奕迅,红玫瑰,https://music.163.com/song?id=65533,《认了吧》,85433,港台
陈奕迅,爱情转移,https://music.163.com/song?id=65536,《认了吧》,72614,港台
陈奕迅,不要说话,https://music.163.com/song?id=25906124,《不想放手》,101794,港台
陈奕迅,十年,https://music.163.com/song?id=66842,《黑白灰》,56248,港台
陈奕迅,陪你度过漫长岁月,https://music.163.com/song?id=35403523,《陪你度过漫长岁月》,100817,港台
陈奕迅,浮夸,https://music.163.com/song?id=66282,《U-87》,29229,港台
陈奕迅,单车,https://music.163.com/song?id=65592,《Sound & Sight》,13973,港台
陈奕迅,好久不见,https://music.163.com/song?id=65538,《认了吧》,205394,港台
陈奕迅,阴天快乐,https://music.163.com/song?id=28563317,《rice & shine》,120052,港台
陈奕迅,淘汰,https://music.163.com/song?id=65528,《认了吧》,87565,港台
陈奕迅,最佳损友,https://music.163.com/song?id=65800,《Life Continues…》,113468,港台
陈奕迅,孤独患者,https://music.163.com/song?id=64093,《？》,85093,港台
陈奕迅,K歌之王,https://music.163.com/song?id=67467,《打得火热》,2787,港台
陈奕迅,我们,https://music.163.com/song?id=551816010,《我们》,339032,港台
陈奕迅,一丝不挂,https://music.163.com/song?id=64634,《Time Flies》,63311,港台
陈奕迅,葡萄成熟时,https://music.163.com/song?id=66285,《U-87》,49627,港台
陈奕迅,是但求其爱,https://music.163.com/song?id=1496602290,《是但求其爱》,86135,港台
陈奕迅,苦瓜,https://music.163.com/song?id=64293,《Stranger Under My Skin》,42893,港台
陈奕迅,单车(Live),https://music.163.com/song?id=64561,《DUO 陈奕迅2010演唱会》,27253,港台
IU,Celebrity,https://music.163.com/song?id=1815389717,《Celebrity》,95682,日韩
IU,Blueming,https://music.163.com/song?id=1404511131,《Love poem》,48705,日韩
IU,삐삐,https://music.163.com/song?id=1316563427,《삐삐》,53148,日韩
IU,봄 사랑 벚꽃 말고,https://music.163.com/song?id=28391219,《봄 사랑 벚꽃 말고》,32929,日韩
IU,팔레트,https://music.163.com/song?id=473873431,《Palette》,38140,日韩
IU,잼잼,https://music.163.com/song?id=473873434,《Palette》,22939,日韩
IU,좋은 날,https://music.163.com/song?id=22677859,《Real》,12905,日韩
IU,너의 의미,https://music.163.com/song?id=28557036,《꽃갈피》,15093,日韩
IU,밤편지,https://music.163.com/song?id=467590816,《밤편지》,27350,日韩
IU,스물셋,https://music.163.com/song?id=35848032,《CHAT-SHIRE》,22933,日韩
IU,Love poem,https://music.163.com/song?id=1400436688,《Love poem》,52146,日韩
IU,"斑马, 斑马",https://music.163.com/song?id=39443443,《Covers & Unreleased Songs》,28823,日韩
IU,금요일에 만나요,https://music.163.com/song?id=28126835,《Modern Times - Epilogue》,15716,日韩
IU,喜欢你,https://music.163.com/song?id=447279395,《Covers & Unreleased Songs》,3425,日韩
IU,가을 아침,https://music.163.com/song?id=506094660,《가을 아침》,3390,日韩
IU,囍帖街 (Live),https://music.163.com/song?id=35847131,《Covers & Unreleased Songs》,8086,日韩
IU,복숭아,https://music.163.com/song?id=5346651,《스무 살의 봄》,38131,日韩
IU,너랑 나,https://music.163.com/song?id=5346672,《Last Fantasy》,5349,日韩
IU,样(YOUNG) (Live),https://music.163.com/song?id=36492786,《Covers & Unreleased Songs》,4683,日韩
IU,내 손을 잡아,https://music.163.com/song?id=5346685,《최고의 사랑 OST Part.4》,2012,日韩
林宥嘉,全世界谁倾听你,https://music.163.com/song?id=432509483,《蒙面唱将猜猜猜 第一期》,158951,港台
林宥嘉,致姗姗来迟的你,https://music.163.com/song?id=432506809,《全世界谁倾听你》,83527,港台
林宥嘉,成全,https://music.163.com/song?id=431259309,《蒙面唱将猜猜猜 第十一期》,1212,港台
林宥嘉,林宥嘉,https://music.163.com/song?id=472117541,《 热门华语281》,36226,港台
林宥嘉,成全,https://music.163.com/song?id=431259309,《我愚蠢的理想主义》,1212,港台
林宥嘉,全世界谁倾听你,https://music.163.com/song?id=432509483,《欲望反光》,158951,港台
林宥嘉,浪费 (Live),https://music.163.com/song?id=443292045,《残酷月光（伴奏）》,538,港台
林宥嘉,突然好想你(Live),https://music.163.com/song?id=34614324,《超级星光大道 第一届》,7154,港台
林宥嘉,致姗姗来迟的你,https://music.163.com/song?id=432506809,《超级星光大道 第一届》,83527,港台
林宥嘉,我有多么喜欢你,https://music.163.com/song?id=565907377,《903id club 拉阔音乐会》,9017,港台
林宥嘉,残酷月光（伴奏）,https://music.163.com/song?id=1432088662,《林宥嘉》,51,港台
林宥嘉,我是一只鱼 (Live),https://music.163.com/song?id=34916139,《跨年演唱会2012-2013 华语篇2》,1090,港台
林宥嘉,你把我灌醉 (Live),https://music.163.com/song?id=34916137,《超级星光大道 第一届》,569,港台
林宥嘉,吻得太逼真/酷爱(Live),https://music.163.com/song?id=5240868,《哭了.K歌之王》,3334,港台
林宥嘉,林宥嘉,https://music.163.com/song?id=472117541,《如同悲伤被下载了两次》,36226,港台
林宥嘉,开到荼蘼 (Live),https://music.163.com/song?id=406924268,《超级星光大道 第一届》,1245,港台
林宥嘉,到不了 (Live),https://music.163.com/song?id=34916132,《903id club 拉阔音乐会》,277,港台
林宥嘉,哭了.K歌之王(live版),https://music.163.com/song?id=28306728,《超级星光大道 第一届》,2573,港台
林宥嘉,如同悲伤被下载了两次,https://music.163.com/song?id=34179838,《脚趾上的星光 电影原声带》,6493,港台
林宥嘉,悬崖 (Live),https://music.163.com/song?id=34916140,《 热门华语136》,696,港台
张学友,遥远的她,https://music.163.com/song?id=487154152,《环球巨星影音启示录 张学友》,2698,港台
张学友,只想一生跟你走,https://music.163.com/song?id=189987,《一生跟你走 年度代表作品辑》,30655,港台
张学友,如果这都不算爱,https://music.163.com/song?id=188432,《学友 热》,28723,港台
张学友,她来听我的演唱会,https://music.163.com/song?id=188647,《友情歌 1995-2000世纪情歌金选》,47907,港台
张学友,慢慢,https://music.163.com/song?id=189315,《忘记你我做不到》,44873,港台
张学友,吻别,https://music.163.com/song?id=1895553581,《那些追梦时翻唱过的歌 Vol.2》,59,港台
张学友,饿狼传说,https://music.163.com/song?id=190270,《饿狼传说》,22512,港台
张学友,一千个伤心的理由,https://music.163.com/song?id=1882292511,《數字的秘密》,162,港台
张学友,李香兰,https://music.163.com/song?id=32688998,《环球DSD视听之王》,3661,港台
张学友,等你等到我心痛,https://music.163.com/song?id=190360,《等你等到我心痛 张学友精选》,18588,港台
张学友,一路上有你,https://music.163.com/song?id=190458,《吻别》,1868,港台
张学友,每天爱你多一些,https://music.163.com/song?id=1891383358,《治愈系情歌精選》,55,港台
